timestamp,AX_raw,AY_raw,AZ_raw,GX_raw,GY_raw,GZ_raw,MX_raw,MY_raw,MZ_raw
1770405559.528835,247,8,-2979,-8,3,4,163,23,2445
1770405559.628852,248,5,-2984,6,-2,2,162,23,2445
1770405559.829179,249,5,-2985,-24,6,0,162,27,2445
1770405559.929115,247,7,-2980,-19,3,-1,162,23,2443
1770405560.028951,246,4,-2983,24,-9,1,162,24,2446
1770405560.170135,246,4,-2984,-16,4,0,164,27,2447
1770405560.229232,247,5,-2983,-25,7,0,162,28,2443
1770405560.329578,246,4,-2982,2,-2,0,162,26,2443
1770405560.429638,247,4,-2983,-4,0,1,163,28,2444
1770405560.529611,248,6,-2983,-13,2,1,162,27,2444
1770405560.629707,247,5,-2982,0,-2,0,162,25,2446
1770405560.729743,246,4,-2984,-1,-1,0,163,27,2447
1770405560.830012,247,4,-2983,-10,1,0,162,27,2443
1770405560.929893,247,6,-2983,-6,0,0,162,27,2446
1770405561.030115,248,3,-2982,-3,0,0,162,26,2443
1770405561.130052,248,5,-2984,-6,0,0,162,26,2444
1770405561.230245,247,4,-2983,-7,0,0,163,27,2446
1770405561.430056,247,4,-2983,-6,0,0,162,26,2445
1770405561.530294,248,4,-2980,-6,0,0,162,26,2443
1770405561.630517,246,6,-2984,-5,0,0,162,26,2445
1770405561.730680,247,5,-2983,-6,0,0,162,25,2444
1770405561.830773,248,6,-2983,-5,0,0,162,26,2444
1770405561.930680,247,6,-2983,-5,0,0,162,26,2446
1770405562.030745,248,5,-2983,-6,0,0,162,25,2445
1770405562.150766,247,6,-2984,-5,0,0,162,26,2444
1770405562.230912,247,5,-2983,-7,0,0,162,26,2442
1770405562.331133,247,6,-2982,-6,0,0,163,25,2443
1770405562.430854,247,7,-2984,-5,0,0,161,25,2443
1770405562.531229,248,4,-2982,-6,0,0,162,25,2445
1770405562.631065,247,6,-2984,-5,0,0,162,24,2446
1770405562.731454,246,6,-2984,-5,0,0,162,25,2444
1770405562.831584,248,6,-2982,-10,1,0,162,26,2446
1770405562.931635,247,6,-2983,-4,0,0,161,24,2443
1770405563.031707,248,5,-2983,-3,0,0,161,24,2442
1770405563.171796,247,6,-2982,-7,0,0,162,25,2442
1770405563.231489,248,7,-2982,-6,0,0,161,25,2444
1770405563.331826,247,5,-2982,-3,0,0,161,24,2444
1770405563.431654,248,5,-2984,-6,0,0,160,25,2443
1770405563.531754,248,6,-2983,-7,0,0,161,24,2444
1770405563.632033,248,5,-2983,-4,0,0,161,24,2443
1770405563.732049,248,7,-2983,-6,0,1,162,24,2445
1770405563.832418,248,6,-2984,-6,0,0,161,25,2440
1770405563.932298,248,6,-2982,-4,0,0,161,24,2442
1770405564.032519,248,5,-2982,-6,0,0,161,23,2442
1770405564.132440,247,6,-2984,-6,0,0,161,25,2442
1770405564.232537,248,8,-2985,-5,0,0,160,24,2442
1770405564.332737,248,7,-2983,-6,0,0,161,23,2442
1770405564.432750,248,8,-2983,-8,0,0,161,23,2444
1770405564.532804,248,8,-2982,-7,1,1,161,24,2443
1770405564.632964,248,8,-2984,-5,0,0,161,22,2443
1770405564.733038,248,6,-2982,-2,0,1,160,23,2442
1770405564.833212,248,7,-2982,-3,0,1,161,23,2445
1770405564.933073,249,8,-2982,-14,2,0,161,23,2442
1770405565.033153,247,7,-2982,-7,0,0,162,22,2444
1770405565.153149,249,7,-2985,-4,0,0,161,21,2443
1770405565.233420,248,10,-2983,-11,0,0,161,23,2442
1770405565.333522,249,8,-2984,-7,0,0,162,22,2443
1770405565.433425,249,7,-2985,6,-3,0,162,22,2441
1770405565.533459,248,7,-2984,-12,1,0,162,24,2442
1770405565.633605,249,8,-2981,-14,3,1,163,22,2445
1770405565.733722,248,7,-2983,8,-5,0,161,22,2440
1770405565.833512,247,7,-2985,0,-1,0,163,24,2446
1770405565.933524,249,8,-2984,-13,3,1,162,24,2442
1770405566.033535,247,7,-2985,-1,-1,0,162,22,2444
1770405566.173625,248,7,-2984,-7,0,0,163,23,2443
1770405566.233789,248,8,-2983,-9,0,0,163,24,2444
1770405566.334252,248,6,-2983,-6,0,0,163,23,2445
1770405566.433872,247,7,-2983,-2,0,0,162,26,2444
1770405566.534040,248,7,-2984,-7,1,0,163,23,2444
1770405566.634150,247,6,-2983,-8,0,0,162,22,2442
1770405566.734152,248,8,-2983,-1,-1,0,163,23,2444
1770405566.834313,247,6,-2983,-9,1,1,163,23,2443
1770405566.934399,249,6,-2985,-4,0,0,163,24,2443
1770405567.033485,247,6,-2983,-4,0,0,162,24,2443
1770405567.234588,248,7,-2983,-5,0,1,163,23,2441
1770405567.335050,248,8,-2983,-3,0,0,162,23,2442
1770405567.433821,247,7,-2984,-5,0,0,163,23,2444
1770405567.535107,249,7,-2984,-5,0,0,162,23,2443
1770405567.634124,248,7,-2981,-4,0,0,163,22,2445
1770405567.733965,247,7,-2983,-4,0,0,163,22,2444
1770405567.835080,248,8,-2983,-5,0,0,163,23,2444
1770405567.934249,248,7,-2982,-5,0,0,163,23,2442
1770405568.034525,247,8,-2983,-4,0,0,163,22,2444
1770405568.156413,248,7,-2985,-5,0,1,163,22,2444
1770405568.235661,248,7,-2982,-5,0,1,163,24,2442
1770405568.335852,248,8,-2985,-9,2,1,163,23,2444
1770405568.434845,248,8,-2982,-6,0,0,162,22,2443
1770405568.534558,247,7,-2984,10,-4,0,162,23,2442
1770405568.634567,247,6,-2984,-3,0,0,162,25,2444
1770405568.734897,247,6,-2984,-5,0,1,163,24,2444
1770405568.836179,248,6,-2985,-8,1,1,163,25,2445
1770405568.934942,246,7,-2982,-15,0,0,163,25,2442
1770405569.035078,246,22,-2987,2,-7,4,163,24,2448
1770405569.176346,245,5,-2987,-7,3,0,165,22,2452
1770405569.235290,247,7,-2984,-11,10,2,166,24,2450
1770405569.336515,248,6,-2984,0,1,1,164,20,2442
1770405569.435582,246,4,-2983,21,-7,2,164,21,2444
1770405569.535626,246,3,-2983,1,-1,0,165,24,2445
1770405569.635584,247,5,-2979,-25,16,5,165,22,2441
1770405569.735806,257,1,-2965,-5,-13,0,161,17,2429
1770405569.836958,238,-21,-2921,51,-1,53,173,14,2423
1770405569.935792,171,37,-2582,-383,-537,-72,530,-188,1705
1770405570.035836,216,-15,-2492,-218,-712,239,452,-259,284
1770405570.137096,62,62,-3054,-27,-6,47,203,-278,195
1770405570.235778,79,69,-3001,-10,26,-1,189,-284,189
1770405570.336299,79,66,-3009,-5,0,0,188,-282,191
1770405570.436138,77,65,-3010,-7,0,1,188,-282,189
1770405570.536282,77,66,-3009,-9,0,0,187,-283,188
1770405570.636265,76,66,-3010,-8,0,0,187,-284,190
1770405570.736520,77,67,-3010,-6,0,0,188,-283,191
1770405570.837617,77,67,-3010,-12,1,0,188,-283,189
1770405570.936526,76,66,-3009,6,-3,1,188,-284,188
1770405571.036676,76,66,-3010,-4,0,0,187,-283,190
1770405571.157734,79,68,-3010,-22,5,1,188,-285,190
